nivel_influencia,simulacion,entropia,gini,optativa_1,optativa_2,optativa_3,optativa_4,optativa_5,optativa_6,optativa_7
0.0,0,2.8032260386220655,0.04081632653061224,10,10,10,9,11,11,9
0.0,1,2.78178867945147,0.10204081632653061,14,9,10,11,10,8,8
0.0,2,2.726242526525094,0.18775510204081633,9,10,14,16,7,8,6
0.0,3,2.7021531939669665,0.20408163265306123,6,14,14,14,10,5,7
0.0,4,2.736962544807096,0.17142857142857143,7,8,8,16,11,7,13
0.0,5,2.774335074014626,0.11020408163265306,12,12,6,9,10,9,12
0.0,6,2.7082215137929992,0.19591836734693877,4,9,10,8,12,17,10
0.0,7,2.7359833162952443,0.17551020408163265,6,9,13,15,10,6,11
0.0,8,2.746398401340967,0.16326530612244897,11,8,13,15,6,8,9
0.0,9,2.7485952349737333,0.15918367346938775,9,13,6,14,9,7,12
0.0,10,2.774212290752012,0.11836734693877551,9,12,9,8,12,13,7
0.0,11,2.7393800555398817,0.17142857142857143,12,7,11,6,9,16,9
0.0,12,2.780735944111081,0.10612244897959183,13,8,12,8,11,10,8
0.0,13,2.7646607106183945,0.1346938775510204,13,11,8,9,10,6,13
0.0,14,2.785095113299022,0.09795918367346938,10,13,8,12,9,10,8
0.0,15,2.7311745774302025,0.17959183673469387,15,9,13,12,8,8,5
0.0,16,2.7577185490392533,0.14285714285714285,11,13,7,9,13,11,6
0.0,17,2.683863636990422,0.22857142857142856,15,7,4,7,16,10,11
0.0,18,2.732808266402076,0.17551020408163265,8,13,6,6,14,13,10
0.0,19,2.7781529517198806,0.11428571428571428,11,9,7,12,10,8,13
0.0,20,2.7724928032729164,0.12244897959183673,7,9,8,13,13,11,9
0.0,21,2.683054738142483,0.22857142857142856,6,9,13,7,10,19,6
0.0,22,2.745879850667535,0.16326530612244897,13,10,10,7,9,15,6
0.0,23,2.7703208590653587,0.12244897959183673,11,10,12,6,8,10,13
0.0,24,2.7409477997624268,0.16326530612244897,5,9,8,10,14,10,14
0.0,25,2.7025221658794822,0.21224489795918366,8,5,12,17,13,8,7
0.0,26,2.74735324284395,0.15918367346938775,9,10,6,14,7,10,14
0.0,27,2.7359833162952447,0.17551020408163265,6,11,9,6,10,15,13
0.0,28,2.736127952736066,0.17142857142857143,11,11,7,5,9,12,15
0.0,29,2.7325322460068704,0.17959183673469387,9,5,13,10,7,15,11
0.0,30,2.7262425265250942,0.18775510204081633,7,8,16,14,9,10,6
0.0,31,2.7155781663669423,0.17551020408163265,12,14,11,12,4,11,6
0.0,32,2.7513131059577303,0.1469387755102041,13,5,11,11,13,9,8
0.0,33,2.745879850667535,0.16326530612244897,10,15,13,10,7,6,9
0.0,34,2.777848018483601,0.11020408163265306,14,9,9,8,8,10,12
0.0,35,2.7373337816462984,0.16326530612244897,10,16,5,9,9,9,12
0.0,36,2.650256257277682,0.24081632653061225,7,21,11,9,9,4,9
0.0,37,2.71307203617078,0.18775510204081633,10,5,12,5,15,11,12
0.0,38,2.6744395064517072,0.23265306122448978,5,9,11,13,17,4,11
0.0,39,2.779205687060269,0.10612244897959183,7,10,9,9,10,11,14
0.0,40,2.780151954232594,0.09387755102040816,12,6,11,11,11,9,10
0.0,41,2.7394744075860116,0.1673469387755102,10,13,15,5,10,9,8
0.0,42,2.770198075802745,0.12653061224489795,13,13,7,11,8,8,10
0.0,43,2.774212290752012,0.11836734693877551,7,13,12,9,8,12,9
0.0,44,2.769019879806335,0.12244897959183673,10,13,9,9,6,10,13
0.0,45,2.730640073643746,0.15510204081632653,10,18,9,9,9,6,9
0.0,46,2.7241041614909003,0.1836734693877551,17,10,9,11,6,6,11
0.0,47,2.7277702497452454,0.1836734693877551,8,14,14,7,12,5,10
0.0,48,2.7326430272865236,0.17551020408163265,12,8,17,10,9,6,8
0.0,49,2.7536668205571417,0.13877551020408163,5,8,11,11,10,14,11
0.1,0,2.7748465178723283,0.11836734693877551,14,10,7,11,8,11,9
0.1,1,2.785095113299022,0.09795918367346938,10,9,13,12,8,10,8
0.1,2,2.7562949357132576,0.1469387755102041,8,15,13,7,8,10,9
0.1,3,2.6978313947491235,0.2163265306122449,5,13,13,16,7,10,6
0.1,4,2.7501446678093453,0.1469387755102041,9,9,12,9,12,14,5
0.1,5,2.760367988596123,0.14285714285714285,14,9,9,11,7,13,7
0.1,6,2.7646704684664196,0.1346938775510204,8,14,9,8,12,12,7
0.1,7,2.7248377301303033,0.1836734693877551,7,11,7,14,8,16,7
0.1,8,2.754132600158084,0.1510204081632653,8,7,13,7,12,9,14
0.1,9,2.774335074014626,0.11020408163265306,12,9,12,10,12,6,9
0.1,10,2.7192954226258594,0.19183673469387755,9,11,17,12,5,8,8
0.1,11,2.7127030140427384,0.19183673469387755,18,8,10,5,8,11,10
0.1,12,2.787389840769193,0.08979591836734693,12,9,8,13,9,10,9
0.1,13,2.7633786974862176,0.1306122448979592,13,11,6,12,7,10,11
0.1,14,2.7075819423672995,0.2,7,6,15,5,12,13,12
0.1,15,2.7620874760752194,0.13877551020408163,9,7,7,9,14,12,12
0.1,16,2.667444270794903,0.23673469387755103,7,6,16,5,14,15,7
0.1,17,2.691978809703016,0.20816326530612245,12,4,5,10,13,15,11
0.1,18,2.7530325934368256,0.14285714285714285,12,9,8,13,5,12,11
0.1,19,2.7900484886048846,0.08163265306122448,11,11,10,10,12,9,7
0.1,20,2.798866869434125,0.05714285714285714,11,11,10,9,11,8,10
0.1,21,2.7713735944057474,0.11428571428571428,10,11,10,9,10,14,6
0.1,22,2.7226067987935054,0.19183673469387755,12,9,13,7,16,6,7
0.1,23,2.6831822820519826,0.22448979591836735,14,6,11,4,15,7,13
0.1,24,2.7843883401579204,0.09795918367346938,10,9,7,9,11,13,11
0.1,25,2.7329529028428974,0.17551020408163265,14,7,5,13,12,11,8
0.1,26,2.6739773892436087,0.22448979591836735,7,6,8,7,16,8,18
0.1,27,2.7345966877246397,0.17142857142857143,10,5,10,7,13,10,15
0.1,28,2.7310985367710057,0.17551020408163265,14,7,14,13,6,8,8
0.1,29,2.743815408949766,0.1673469387755102,9,9,11,15,6,7,13
0.1,30,2.737312072030838,0.17142857142857143,5,14,7,13,9,10,12
0.1,31,2.7313561986264157,0.17142857142857143,10,11,13,6,11,14,5
0.1,32,2.77379378253194,0.11836734693877551,11,7,12,8,13,11,8
0.1,33,2.7820936126877487,0.10204081632653061,13,10,11,8,10,11,7
0.1,34,2.7502628780868914,0.1510204081632653,10,16,8,9,6,11,10
0.1,35,2.7909855474983885,0.08163265306122448,12,9,8,9,12,9,11
0.1,36,2.7114856185797764,0.2,8,6,8,12,15,15,6
0.1,37,2.766832804021594,0.12653061224489795,10,8,15,9,8,12,8
0.1,38,2.7394744075860116,0.1673469387755102,8,9,10,13,10,5,15
0.1,39,2.738180392470874,0.16326530612244897,17,8,8,12,8,10,7
0.1,40,2.7611726555746294,0.1306122448979592,8,9,8,9,8,15,13
0.1,41,2.7430701143152065,0.16326530612244897,15,10,11,9,5,8,12
0.1,42,2.78002917096998,0.10612244897959183,8,11,11,13,11,9,7
0.1,43,2.763073764249938,0.13877551020408163,10,12,6,11,8,9,14
0.1,44,2.7494755573967304,0.15918367346938775,6,11,12,7,15,9,10
0.1,45,2.753409158701732,0.1469387755102041,14,7,8,14,11,8,8
0.1,46,2.7682564173475894,0.12653061224489795,6,13,8,11,9,11,12
0.1,47,2.7699759048266857,0.11836734693877551,8,6,12,12,11,12,9
0.1,48,2.7163241389745965,0.19591836734693877,16,12,6,9,12,10,5
0.1,49,2.714919342579805,0.19591836734693877,12,7,5,16,7,12,11
0.2,0,2.7613324235926346,0.12653061224489795,5,10,10,13,11,12,9
0.2,1,2.7059114122027816,0.20408163265306123,14,9,7,12,15,4,9
0.2,2,2.7541326001580835,0.1510204081632653,12,7,7,14,13,8,9
0.2,3,2.722419850062492,0.1836734693877551,7,7,7,12,8,12,17
0.2,4,2.7419586846039663,0.14285714285714285,13,4,9,10,12,12,10
0.2,5,2.72014201667985,0.19591836734693877,8,7,5,13,10,11,16
0.2,6,2.7804476791900523,0.10612244897959183,9,9,12,7,11,9,13
0.2,7,2.759782990757022,0.13877551020408163,10,13,10,11,13,6,7
0.2,8,2.660538950408406,0.24897959183673468,6,20,12,9,11,7,5
0.2,9,2.7480102371346327,0.1510204081632653,13,12,10,6,13,6,10
0.2,10,2.7879840468871158,0.08571428571428572,7,9,11,9,11,11,12
0.2,11,2.744917420724232,0.16326530612244897,9,8,16,7,7,11,12
0.2,12,2.7494368867076306,0.1510204081632653,10,8,5,9,13,12,13
0.2,13,2.7988668694341254,0.05714285714285714,11,9,10,10,11,8,11
0.2,14,2.798866869434125,0.05714285714285714,10,8,11,10,9,11,11
0.2,15,2.7949262084662565,0.07346938775510205,8,9,10,11,11,9,12
0.2,16,2.7699759048266857,0.11836734693877551,11,9,12,8,12,12,6
0.2,17,2.7620210289095497,0.1346938775510204,11,13,12,8,6,8,12
0.2,18,2.7517906013070426,0.1469387755102041,12,5,10,11,10,8,14
0.2,19,2.7257039785310218,0.1673469387755102,4,12,12,8,8,13,13
0.2,20,2.768092578760857,0.12653061224489795,7,10,10,10,12,7,14
0.2,21,2.756737302164745,0.1346938775510204,8,8,8,9,16,12,9
0.2,22,2.743815408949766,0.1673469387755102,15,6,11,7,9,9,13
0.2,23,2.7746800282532997,0.11020408163265306,10,9,12,13,6,10,10
0.2,24,2.796990650184026,0.0653061224489796,9,10,8,10,10,12,11
0.2,25,2.6002748456386646,0.2979591836734694,10,3,14,11,7,5,20
0.2,26,2.7148944531545953,0.15918367346938775,12,11,8,12,11,3,13
0.2,27,2.7276073019174913,0.1836734693877551,12,9,6,12,6,9,16
0.2,28,2.736403973131271,0.17142857142857143,12,6,11,13,14,8,6
0.2,29,2.7613324235926346,0.12653061224489795,5,10,10,13,12,9,11
0.2,30,2.793989149572753,0.061224489795918366,10,7,11,11,11,10,10
0.2,31,2.710599372858417,0.19591836734693877,11,9,12,7,11,16,4
0.2,32,2.7584253221803543,0.14285714285714285,12,10,13,6,8,13,8
0.2,33,2.741769135056183,0.15918367346938775,10,13,9,9,9,5,15
0.2,34,2.7357843488106863,0.17551020408163265,9,9,7,6,10,13,16
0.2,35,2.7673101501752644,0.1306122448979592,13,10,9,14,8,7,9
0.2,36,2.753032593436826,0.14285714285714285,13,11,12,12,8,9,5
0.2,37,2.783813100166845,0.09795918367346938,7,11,10,12,8,12,10
0.2,38,2.7136008734696895,0.19183673469387755,12,8,9,12,9,4,16
0.2,39,2.7306973748392784,0.1673469387755102,4,14,8,13,11,10,10
0.2,40,2.765015422705093,0.1346938775510204,8,8,7,14,13,10,10
0.2,41,2.7095076477094295,0.2,8,7,9,6,18,13,9
0.2,42,2.767432933437879,0.12653061224489795,10,6,9,12,10,9,14
0.2,43,2.719253622342536,0.15510204081632653,3,13,12,11,10,12,9
0.2,44,2.7748465178723283,0.11836734693877551,11,7,8,11,10,9,14
0.2,45,2.6930788164242734,0.2163265306122449,7,10,4,7,15,13,14
0.2,46,2.695742808565349,0.22040816326530613,8,10,17,10,14,5,6
0.2,47,2.70182101303157,0.20816326530612245,9,4,7,14,10,16,10
0.2,48,2.776795283143213,0.11020408163265306,8,12,13,9,12,8,8
0.2,49,2.750757570528907,0.15510204081632653,9,6,15,13,9,8,10
0.3,0,2.7580259897450823,0.1306122448979592,10,5,14,10,11,9,11
0.3,1,2.7113405467087226,0.2,13,11,8,8,8,5,17
0.3,2,2.696758635726983,0.19591836734693877,13,4,12,5,14,12,10
0.3,3,2.6787469286420977,0.23265306122448978,6,11,16,12,7,14,4
0.3,4,2.731120246386466,0.17551020408163265,9,9,16,6,8,8,14
0.3,5,2.6894571124994373,0.2,8,11,17,11,10,10,3
0.3,6,2.7721970783154584,0.11428571428571428,11,11,10,6,8,11,13
0.3,7,2.733489621340515,0.17959183673469387,16,8,6,7,10,13,10
0.3,8,2.681084035388571,0.21224489795918366,9,9,3,7,14,14,14
0.3,9,2.7407631423192114,0.1673469387755102,6,13,10,14,6,12,9
0.3,10,2.7569732544046945,0.1346938775510204,8,11,12,5,11,10,13
0.3,11,2.7600904314628516,0.11836734693877551,10,10,11,5,10,10,14
0.3,12,2.7152618944455003,0.17959183673469387,10,7,8,9,19,7,10
0.3,13,2.7626531074139113,0.1306122448979592,9,6,10,15,10,9,11
0.3,14,2.7375800205117264,0.17551020408163265,8,9,6,7,12,15,13
0.3,15,2.712563336692595,0.2,8,10,8,7,17,6,14
0.3,16,2.77815295171988,0.11428571428571428,11,8,9,13,10,7,12
0.3,17,2.7781529517198806,0.11428571428571428,9,8,10,13,7,11,12
0.3,18,2.787389840769193,0.08979591836734693,12,9,9,13,8,10,9
0.3,19,2.7782757349824947,0.10204081632653061,9,6,10,12,11,10,12
0.3,20,2.7157414994094022,0.19183673469387755,15,8,13,10,4,12,8
0.3,21,2.5975266907085492,0.2979591836734694,10,4,9,13,22,7,5
0.3,22,2.7584253221803547,0.14285714285714285,8,8,13,6,12,10,13
0.3,23,2.6626021351601024,0.22448979591836735,17,11,12,4,11,4,11
0.3,24,2.768092578760857,0.12653061224489795,10,7,14,7,10,12,10
0.3,25,2.7703208590653587,0.12244897959183673,12,10,11,8,13,6,10
0.3,26,2.7267567138714095,0.17551020408163265,8,13,9,4,14,10,12
0.3,27,2.7748465178723287,0.11836734693877551,11,9,10,7,11,8,14
0.3,28,2.7803401767002636,0.08979591836734693,10,10,10,6,12,10,12
0.3,29,2.776795283143213,0.11020408163265306,8,12,8,9,13,12,8
0.3,30,2.71709916798607,0.18775510204081633,10,4,11,7,10,15,13
0.3,31,2.780151954232594,0.09387755102040816,10,12,11,6,9,11,11
0.3,32,2.767615083411544,0.1306122448979592,13,7,10,13,7,9,11
0.3,33,2.7765562475033985,0.10612244897959183,9,10,6,13,10,11,11
0.3,34,2.718122168949543,0.18775510204081633,7,10,12,7,18,9,7
0.3,35,2.693447259559336,0.21224489795918366,10,6,12,10,17,11,4
0.3,36,2.7059732361678566,0.20816326530612245,6,6,17,8,12,8,13
0.3,37,2.7988668694341254,0.05714285714285714,10,8,11,11,10,9,11
0.3,38,2.7781529517198806,0.11428571428571428,12,10,9,7,8,11,13
0.3,39,2.785095113299022,0.09795918367346938,8,8,9,12,10,13,10
0.3,40,2.787389840769193,0.08979591836734693,9,9,10,9,13,12,8
0.3,41,2.668784995068515,0.22857142857142856,8,7,8,8,17,17,5
0.3,42,2.738047758013013,0.1673469387755102,6,10,10,10,15,13,6
0.3,43,2.6633946078283106,0.23265306122448978,9,7,5,8,21,11,9
0.3,44,2.6834502305328707,0.23265306122448978,6,5,13,7,10,11,18
0.3,45,2.7701980758027447,0.12653061224489795,8,7,8,10,13,13,11
0.3,46,2.6200647345734978,0.2693877551020408,15,10,15,5,4,5,16
0.3,47,2.7052846308509415,0.20816326530612245,17,5,9,6,10,10,13
0.3,48,2.7542553834206975,0.1510204081632653,10,9,12,6,12,14,7
0.3,49,2.7817886794514695,0.10204081632653061,8,10,8,9,10,11,14
0.4,0,2.67971425068997,0.1836734693877551,12,10,2,12,8,13,13
0.4,1,2.786971332549121,0.09387755102040816,11,11,10,9,8,13,8
0.4,2,2.7886908200282177,0.08979591836734693,12,12,9,11,8,10,8
0.4,3,2.717522039533258,0.19183673469387755,9,6,7,9,8,16,15
0.4,4,2.6785742899524276,0.22040816326530613,11,3,7,12,11,9,17
0.4,5,2.712820998548005,0.19183673469387755,10,11,5,11,17,6,10
0.4,6,2.785689319416944,0.08979591836734693,11,10,11,11,7,8,12
0.4,7,2.77815295171988,0.11428571428571428,9,12,7,10,13,11,8
0.4,8,2.713197452727731,0.1836734693877551,9,8,7,11,7,19,9
0.4,9,2.756973254404694,0.1346938775510204,12,8,10,13,11,11,5
0.4,10,2.767310150175265,0.1306122448979592,14,8,9,7,13,10,9
0.4,11,2.677379183097905,0.23265306122448978,9,15,7,7,18,5,9
0.4,12,2.7052200131817266,0.19591836734693877,11,11,10,7,17,10,4
0.4,13,2.708034548291403,0.20408163265306123,8,8,15,7,5,12,15
0.4,14,2.7027091146104953,0.21224489795918366,9,13,5,8,13,6,16
0.4,15,2.756715592549284,0.14285714285714285,12,8,8,8,7,13,14
0.4,16,2.6980793195482593,0.21224489795918366,15,6,10,4,12,14,9
0.4,17,2.7730681924596334,0.11428571428571428,9,10,8,11,9,8,15
0.4,18,2.716882484878142,0.19591836734693877,7,6,12,9,12,7,17
0.4,19,2.6814623972531164,0.22040816326530613,9,11,11,8,4,8,19
0.4,20,2.749352774134116,0.15918367346938775,11,8,9,7,15,13,7
0.4,21,2.6909968848554127,0.18775510204081633,12,3,12,12,11,6,14
0.4,22,2.729135025137643,0.17142857142857143,9,5,6,12,12,12,14
0.4,23,2.72075949238448,0.19183673469387755,13,15,10,9,6,5,12
0.4,24,2.669273747441585,0.2163265306122449,15,3,12,5,13,11,11
0.4,25,2.7930499892161573,0.07755102040816327,9,12,12,8,9,10,10
0.4,26,2.748616944589194,0.1469387755102041,12,9,16,6,9,9,9
0.4,27,2.794926208466257,0.07346938775510205,9,9,11,8,11,10,12
0.4,28,2.718776871952427,0.19183673469387755,9,7,12,10,5,10,17
0.4,29,2.774335074014626,0.11020408163265306,9,9,12,6,10,12,12
0.4,30,2.7663801980974907,0.1306122448979592,12,10,6,12,9,8,13
0.4,31,2.794926208466257,0.07346938775510205,11,8,12,10,11,9,9
0.4,32,2.6991299716351693,0.20816326530612245,7,8,8,6,10,12,19
0.4,33,2.6934472595593366,0.21224489795918366,12,4,6,11,10,17,10
0.4,34,2.6962444483806673,0.22040816326530613,16,6,7,5,14,12,10
0.4,35,2.719300364945953,0.19591836734693877,16,7,11,6,7,14,9
0.4,36,2.727084178258991,0.1836734693877551,10,5,13,8,8,10,16
0.4,37,2.6811572823436283,0.2163265306122449,11,17,8,8,3,11,12
0.4,38,2.7517906013070426,0.1469387755102041,11,12,10,5,14,8,10
0.4,39,2.6554222420600833,0.24489795918367346,14,8,11,3,8,8,18
0.4,40,2.7663801980974903,0.1306122448979592,6,13,9,8,12,12,10
0.4,41,2.782216395950363,0.08571428571428572,6,11,10,11,12,10,10
0.4,42,2.7726155865355304,0.11836734693877551,12,9,11,9,10,6,13
0.4,43,2.7290024840270033,0.17142857142857143,13,6,5,13,11,9,13
0.4,44,2.68744297840954,0.22857142857142856,14,5,6,8,8,17,12
0.4,45,2.766974404215413,0.11428571428571428,6,7,12,12,11,11,11
0.4,46,2.74470380328708,0.15918367346938775,6,10,10,6,11,14,13
0.4,47,2.721212098308584,0.18775510204081633,8,8,9,5,15,10,15
0.4,48,2.711057080545041,0.19183673469387755,9,18,5,12,8,9,9
0.4,49,2.737580020511726,0.17551020408163265,8,7,12,6,13,9,15
0.5,0,2.712663814576186,0.19183673469387755,10,4,16,7,12,10,11
0.5,1,2.782093612687749,0.10204081632653061,7,8,10,11,10,11,13
0.5,2,2.612510215822831,0.2857142857142857,7,4,9,4,17,17,12
0.5,3,2.7345398492113535,0.1673469387755102,13,5,7,13,13,11,8
0.5,4,2.7949262084662565,0.07346938775510205,8,9,10,9,11,11,12
0.5,5,2.6296927739494884,0.27346938775510204,3,6,10,13,12,19,7
0.5,6,2.6803338750105543,0.22857142857142856,16,6,4,11,7,13,13
0.5,7,2.730721971506099,0.1673469387755102,6,9,5,13,13,12,12
0.5,8,2.7511782273649343,0.15510204081632653,8,6,14,12,9,13,8
0.5,9,2.7905670392783164,0.08163265306122448,11,11,8,9,8,12,11
0.5,10,2.7642498116303935,0.1346938775510204,7,12,8,10,9,9,15
0.5,11,2.779205687060269,0.10612244897959183,9,9,7,11,10,10,14
0.5,12,2.7430701143152065,0.16326530612244897,8,5,10,12,9,11,15
0.5,13,2.7730681924596334,0.11428571428571428,8,11,9,15,9,10,8
0.5,14,2.7748465178723283,0.11836734693877551,8,10,11,11,14,9,7
0.5,15,2.629680044745282,0.2571428571428571,11,16,13,6,8,2,14
0.5,16,2.737473619329772,0.1673469387755102,11,7,11,9,17,7,8
0.5,17,2.7550129225810807,0.1510204081632653,10,8,7,12,11,7,15
0.5,18,2.6200743432258813,0.27755102040816326,5,6,13,6,21,7,12
0.5,19,2.7293958668028018,0.1836734693877551,11,15,14,7,10,6,7
0.5,20,2.750262878086891,0.1510204081632653,11,6,8,10,10,9,16
0.5,21,2.7525358959416018,0.15510204081632653,6,7,10,9,11,14,13
0.5,22,2.687932458003855,0.22040816326530613,13,8,9,6,19,6,9
0.5,23,2.730064977215417,0.17959183673469387,9,9,12,14,5,14,7
