nivel_influencia,simulacion,entropia,gini,optativa_1,optativa_2,optativa_3,optativa_4,optativa_5,optativa_6,optativa_7
0.5,24,2.7749947193376046,0.11020408163265306,12,7,12,10,10,7,12
0.5,25,2.7056459975525535,0.20408163265306123,9,8,8,4,13,16,12
0.5,26,2.7345398492113535,0.1673469387755102,11,8,7,5,13,13,13
0.5,27,2.7494755573967304,0.15918367346938775,12,9,6,11,15,7,10
0.5,28,2.710120021651538,0.19591836734693877,5,7,10,9,10,18,11
0.5,29,2.70381618099462,0.20408163265306123,5,10,13,9,5,13,15
0.5,30,2.712804616467344,0.2,13,13,5,15,6,10,8
0.5,31,2.7502628780868914,0.1510204081632653,10,8,16,6,11,9,10
0.5,32,2.738652250756414,0.1510204081632653,4,9,10,10,14,11,12
0.5,33,2.787389840769193,0.08979591836734693,9,9,8,9,10,12,13
0.5,34,2.756838375811898,0.1469387755102041,14,8,6,10,12,12,8
0.5,35,2.726982878839559,0.17959183673469387,6,9,17,13,8,9,8
0.5,36,2.7724928032729164,0.12244897959183673,11,13,9,7,9,8,13
0.5,37,2.745903708898951,0.15918367346938775,11,10,8,6,11,8,16
0.5,38,2.628125576242355,0.27346938775510204,9,6,8,8,15,20,4
0.5,39,2.7699687980109564,0.12244897959183673,10,7,14,7,11,11,10
0.5,40,2.7619550841602214,0.13877551020408163,10,8,7,10,12,8,15
0.5,41,2.7588494736547937,0.12244897959183673,11,8,11,5,11,13,11
0.5,42,2.760301541430454,0.13877551020408163,8,13,11,11,8,13,6
0.5,43,2.7218789940100376,0.17959183673469387,7,10,12,14,13,10,4
0.5,44,2.7515399991144998,0.1510204081632653,10,7,10,10,15,12,6
0.5,45,2.6713430371648523,0.23265306122448978,9,7,4,9,9,13,19
0.5,46,2.7838531211692388,0.08979591836734693,8,8,10,10,14,10,10
0.5,47,2.7492765899121725,0.15510204081632653,9,10,7,7,9,12,16
0.5,48,2.6698771881253016,0.23673469387755103,19,6,7,13,12,6,7
0.5,49,2.7781529517198806,0.11428571428571428,13,8,7,12,10,9,11
0.6,0,2.705330777690796,0.20816326530612245,6,6,8,15,11,16,8
0.6,1,2.69921573203193,0.2163265306122449,8,8,14,7,11,5,17
0.6,2,2.7913305017370615,0.08163265306122448,8,11,10,13,9,10,9
0.6,3,2.729357196113702,0.17959183673469387,5,7,8,13,10,14,13
0.6,4,2.742639361569311,0.16326530612244897,9,6,6,11,14,11,13
0.6,5,2.7881722693547855,0.08571428571428572,10,10,9,12,12,10,7
0.6,6,2.717844886836701,0.17142857142857143,8,7,8,19,8,10,10
0.6,7,2.75571954652654,0.14285714285714285,7,9,8,13,13,13,7
0.6,8,2.7092911432209172,0.17551020408163265,3,15,10,11,12,10,9
0.6,9,2.788172269354785,0.08571428571428572,10,9,10,10,12,12,7
0.6,10,2.743237584912504,0.1469387755102041,6,9,10,9,9,17,10
0.6,11,2.60527562378308,0.2938775510204082,19,6,8,3,16,7,11
0.6,12,2.7603679885961236,0.14285714285714285,9,7,14,7,9,11,13
0.6,13,2.77090585690446,0.12653061224489795,14,7,8,12,11,9,9
0.6,14,2.752230962705322,0.1510204081632653,10,6,8,9,14,9,14
0.6,15,2.639654994821262,0.2612244897959184,7,12,17,6,6,5,17
0.6,16,2.7782757349824947,0.10204081632653061,9,10,12,6,12,10,11
0.6,17,2.6519226666579465,0.24489795918367346,3,10,5,10,13,12,17
0.6,18,2.762950980987324,0.13877551020408163,11,8,9,7,8,14,13
0.6,19,2.7488580816921,0.15510204081632653,11,8,7,16,10,7,11
0.6,20,2.7108219960352917,0.20408163265306123,13,7,8,5,10,10,17
0.6,21,2.7188018379542735,0.1836734693877551,10,14,8,4,8,13,13
0.6,22,2.777848018483601,0.11020408163265306,9,10,8,14,8,12,9
0.6,23,2.7063223111907826,0.19591836734693877,14,9,6,4,13,13,11
0.6,24,2.7400397008628596,0.1673469387755102,10,7,11,7,7,12,16
0.6,25,2.7463005075035616,0.16326530612244897,13,10,14,7,6,12,8
0.6,26,2.7447038032870803,0.15918367346938775,11,6,13,6,10,14,10
0.6,27,2.76825641734759,0.12653061224489795,13,9,11,6,8,12,11
0.6,28,2.777427361647574,0.09795918367346938,9,9,10,8,15,10,9
0.6,29,2.7186291059173833,0.19183673469387755,15,9,5,10,9,7,15
0.6,30,2.668349189884721,0.23265306122448978,15,6,4,6,15,12,12
0.6,31,2.7530325934368256,0.14285714285714285,13,5,9,11,8,12,12
0.6,32,2.6686985074505096,0.22857142857142856,9,8,10,4,20,8,11
0.6,33,2.7192100595488675,0.19183673469387755,10,13,6,6,13,7,15
0.6,34,2.7412527329987064,0.16326530612244897,10,11,7,5,13,14,10
0.6,35,2.758073261125952,0.1469387755102041,8,7,10,14,11,7,13
0.6,36,2.6898390052991434,0.22448979591836735,10,8,5,16,14,12,5
0.6,37,2.7969906501840263,0.0653061224489796,11,10,10,8,12,10,9
0.6,38,2.6719085841987242,0.24081632653061225,4,12,7,7,18,13,9
0.6,39,2.7026449491420967,0.21224489795918366,10,6,12,12,5,8,17
0.6,40,2.7102454823075592,0.20408163265306123,8,6,13,5,11,16,11
0.6,41,2.76492813032183,0.11428571428571428,11,10,5,12,12,11,9
0.6,42,2.7613796949735043,0.13877551020408163,12,8,7,13,10,7,13
0.6,43,2.662600808079989,0.24489795918367346,15,4,10,10,9,5,17
0.6,44,2.6418689483138373,0.24081632653061225,13,3,4,12,12,10,16
0.6,45,2.6967586357269826,0.19591836734693877,10,13,5,4,12,14,12
0.6,46,2.78021739343765,0.10612244897959183,12,13,10,10,7,8,10
0.6,47,2.7484628430587357,0.15918367346938775,15,6,10,10,13,8,8
0.6,48,2.749896214232757,0.15510204081632653,7,12,14,8,6,11,12
0.6,49,2.6647802954244106,0.24081632653061225,14,6,5,7,7,14,17
0.7,0,2.7630737642499383,0.13877551020408163,8,6,9,14,11,10,12
0.7,1,2.7607200496505264,0.13877551020408163,6,8,12,13,9,9,13
0.7,2,2.731939366969061,0.16326530612244897,9,13,8,4,13,11,12
0.7,3,2.7646607106183945,0.1346938775510204,10,9,13,13,11,6,8
0.7,4,2.6625046767529303,0.22040816326530613,12,10,9,2,15,14,8
0.7,5,2.726242526525094,0.18775510204081633,9,6,8,10,16,7,14
0.7,6,2.7905670392783164,0.08163265306122448,11,12,8,8,9,11,11
0.7,7,2.7365878090386446,0.15510204081632653,14,9,4,9,12,11,11
0.7,8,2.7494755573967304,0.15918367346938775,15,6,9,7,11,10,12
0.7,9,2.7817486584490756,0.10204081632653061,12,9,11,7,8,12,11
0.7,10,2.705557521651924,0.20816326530612245,13,6,8,9,14,15,5
0.7,11,2.663510944510331,0.24489795918367346,13,4,6,9,19,9,10
0.7,12,2.716794234749791,0.18775510204081633,9,8,4,15,10,10,14
0.7,13,2.665647777558022,0.24897959183673468,4,8,6,9,18,14,11
0.7,14,2.773068192459634,0.11428571428571428,8,8,9,9,10,15,11
0.7,15,2.689383815328854,0.22448979591836735,17,4,12,9,7,8,13
0.7,16,2.7564177189758716,0.1469387755102041,10,10,9,12,6,8,15
0.7,17,2.758196044388566,0.14285714285714285,10,6,10,7,12,14,11
0.7,18,2.7900484886048846,0.08163265306122448,10,7,11,11,10,9,12
0.7,19,2.668602150351172,0.24489795918367346,9,7,11,7,18,4,14
0.7,20,2.788690820028217,0.08979591836734693,8,9,12,8,11,12,10
0.7,21,2.7721970783154584,0.11428571428571428,11,6,8,11,10,11,13
0.7,22,2.736338028381943,0.17551020408163265,10,7,10,6,15,8,14
0.7,23,2.657671048462679,0.2530612244897959,13,4,10,18,8,5,12
0.7,24,2.7663801980974903,0.1306122448979592,6,9,12,10,12,13,8
0.7,25,2.782512120907821,0.10204081632653061,13,7,9,12,10,10,9
0.7,26,2.750826166310531,0.15510204081632653,11,9,7,14,7,8,14
0.7,27,2.7879840468871158,0.08571428571428572,11,9,12,7,9,11,11
0.7,28,2.754437533394363,0.14285714285714285,11,7,7,12,7,13,13
0.7,29,2.7411952221452207,0.1346938775510204,11,8,11,12,12,4,12
0.7,30,2.7438349038540655,0.13877551020408163,10,11,9,4,12,11,13
0.7,31,2.7781529517198806,0.11428571428571428,13,7,8,9,11,10,12
0.7,32,2.7691275314917654,0.11836734693877551,12,9,8,9,8,15,9
0.7,33,2.7525358959416018,0.15510204081632653,13,7,11,9,10,14,6
0.7,34,2.741215748243315,0.1673469387755102,14,6,8,15,10,9,8
0.7,35,2.712804616467345,0.2,13,8,13,6,10,15,5
0.7,36,2.7843883401579204,0.09795918367346938,11,10,9,7,13,11,9
0.7,37,2.7573076500512523,0.1469387755102041,9,7,7,12,15,11,9
0.7,38,2.783813100166845,0.09795918367346938,7,10,8,12,10,12,11
0.7,39,2.6614937416958644,0.24897959183673468,17,4,8,9,10,16,6
0.7,40,2.7586927418837908,0.12653061224489795,11,12,12,5,12,10,8
0.7,41,2.738632755852114,0.17142857142857143,15,10,6,9,14,7,9
0.7,42,2.7365886305744858,0.17142857142857143,10,8,11,5,14,8,14
0.7,43,2.7501821813421894,0.1510204081632653,13,13,6,9,9,13,7
0.7,44,2.7930499892161573,0.07755102040816327,9,10,8,9,10,12,12
0.7,45,2.754255383420698,0.1510204081632653,9,12,7,6,12,14,10
0.7,46,2.7864527818756897,0.08979591836734693,13,11,7,9,10,10,10
0.7,47,2.7748465178723283,0.11836734693877551,11,7,14,9,11,8,10
0.7,48,2.7669744042154125,0.11428571428571428,11,6,12,11,11,12,7
0.7,49,2.7459037088989504,0.15918367346938775,11,8,8,16,11,6,10
0.8,0,2.74470380328708,0.15918367346938775,13,6,10,10,6,11,14
0.8,1,2.6917354578889485,0.20408163265306123,13,3,9,9,8,13,15
0.8,2,2.6206916092725585,0.2612244897959184,13,5,14,2,9,16,11
0.8,3,2.770487348684388,0.12244897959183673,11,7,14,11,11,8,8
0.8,4,2.7438349038540655,0.13877551020408163,12,13,10,4,9,11,11
0.8,5,2.7362980073795495,0.17142857142857143,15,12,7,7,11,12,6
0.8,6,2.5265256065831663,0.33877551020408164,10,4,5,13,4,24,10
0.8,7,2.772492803272916,0.12244897959183673,9,9,13,7,11,8,13
0.8,8,2.7162939220145863,0.19183673469387755,11,7,11,5,17,8,11
0.8,9,2.785095113299022,0.09795918367346938,12,13,8,9,8,10,10
0.8,10,2.7544375333943627,0.14285714285714285,12,7,13,13,11,7,7
0.8,11,2.7541543097735444,0.14285714285714285,16,7,9,8,9,9,12
0.8,12,2.746398401340967,0.16326530612244897,6,11,8,13,15,9,8
0.8,13,2.7732752318585083,0.11836734693877551,7,7,10,10,11,13,12
0.8,14,2.772549641786202,0.11020408163265306,10,10,9,10,7,15,9
0.8,15,2.7613796949735043,0.13877551020408163,13,7,8,12,10,7,13
0.8,16,2.758094970741413,0.13877551020408163,9,9,11,7,10,8,16
0.8,17,2.74218979189221,0.16326530612244897,12,8,9,5,13,9,14
0.8,18,2.733489621340515,0.17959183673469387,13,6,7,8,16,10,10
0.8,19,2.7748465178723283,0.11836734693877551,7,11,8,9,10,11,14
0.8,20,2.74735324284395,0.15918367346938775,6,9,14,10,14,10,7
0.8,21,2.72528515119145,0.18775510204081633,5,9,11,9,14,7,15
0.8,22,2.7175415344375575,0.18775510204081633,12,10,9,4,16,8,11
0.8,23,2.7704852000684332,0.11836734693877551,15,9,7,10,11,9,9
0.8,24,2.683332262798188,0.22448979591836735,16,6,6,7,9,17,9
0.8,25,2.6443775210887273,0.2612244897959184,11,6,4,6,13,19,11
0.8,26,2.719253622342536,0.15510204081632653,12,10,12,9,13,11,3
0.8,27,2.686099670089741,0.22857142857142856,18,5,7,9,14,7,10
0.8,28,2.729051441341581,0.1673469387755102,13,4,9,14,12,9,9
0.8,29,2.7375995154160258,0.1510204081632653,4,13,8,12,11,10,12
0.8,30,2.708285150483946,0.20408163265306123,8,7,6,11,7,15,16
0.8,31,2.6369681685237105,0.20408163265306123,14,1,9,11,11,10,14
0.8,32,2.740528470006513,0.14285714285714285,11,9,4,10,11,11,14
0.8,33,2.6515104939332894,0.22040816326530613,9,2,11,11,10,18,9
0.8,34,2.7598906424424534,0.14285714285714285,7,12,9,11,15,8,8
0.8,35,2.7864527818756897,0.08979591836734693,11,7,10,9,10,10,13
0.8,36,2.7262425265250942,0.18775510204081633,10,8,7,9,16,6,14
0.8,37,2.62725985661909,0.2693877551020408,15,3,5,7,14,16,10
0.8,38,2.733872424732447,0.15510204081632653,9,10,11,4,15,11,10
0.8,39,2.711554743138853,0.19183673469387755,14,9,14,8,8,4,13
0.8,40,2.7391294533473385,0.1673469387755102,9,5,9,8,15,12,12
0.8,41,2.7098520731706497,0.2,11,4,15,7,10,14,9
0.8,42,2.8011615969042967,0.04897959183673469,11,9,9,9,11,11,10
0.8,43,2.785095113299022,0.09795918367346938,12,10,8,8,9,13,10
0.8,44,2.690864343744773,0.18775510204081633,3,6,11,13,13,11,13
0.8,45,2.7475004131154326,0.15510204081632653,8,11,7,8,12,8,16
0.8,46,2.769309152687978,0.12244897959183673,6,9,10,9,14,11,11
0.8,47,2.787389840769193,0.08979591836734693,9,9,8,10,13,9,12
0.8,48,2.798866869434125,0.05714285714285714,10,9,8,10,11,11,11
0.8,49,2.7558002432712407,0.14285714285714285,10,10,8,11,16,8,7
0.9,0,2.7580732611259524,0.1469387755102041,8,7,14,7,11,13,10
0.9,1,2.738878415724564,0.16326530612244897,8,9,6,11,10,9,17
0.9,2,2.6952309125068314,0.2163265306122449,12,16,6,4,13,9,10
0.9,3,2.780735944111081,0.10612244897959183,8,11,12,8,13,10,8
0.9,4,2.776795283143213,0.11020408163265306,12,9,8,8,13,12,8
0.9,5,2.6991299716351693,0.20816326530612245,8,8,7,10,12,6,19
0.9,6,2.786107827637016,0.09387755102040816,12,9,11,12,9,10,7
0.9,7,2.769019879806335,0.12244897959183673,13,10,9,9,6,13,10
0.9,8,2.761668967855147,0.13877551020408163,11,7,8,14,11,7,12
0.9,9,2.75131310595773,0.1469387755102041,11,5,9,8,11,13,13
0.9,10,2.750757570528907,0.15510204081632653,9,6,10,9,13,8,15
0.9,11,2.7449463335653066,0.15510204081632653,9,8,11,5,11,11,15
0.9,12,2.694896197740774,0.2163265306122449,9,8,7,15,4,12,15
0.9,13,2.6799621754891056,0.22857142857142856,8,7,9,5,8,18,15
0.9,14,2.750262878086891,0.1510204081632653,9,6,10,8,10,16,11
0.9,15,2.790048488604885,0.08163265306122448,10,10,11,9,7,12,11
0.9,16,2.7106639905276313,0.20408163265306123,5,13,16,9,9,6,12
0.9,17,2.7181198106756357,0.18775510204081633,12,5,12,15,12,8,6
0.9,18,2.779205687060269,0.10612244897959183,14,10,9,7,11,9,10
0.9,19,2.7782757349824947,0.10204081632653061,9,10,6,11,12,12,10
0.9,20,2.704236837830647,0.19591836734693877,13,5,5,13,8,14,12
0.9,21,2.74735324284395,0.15918367346938775,10,10,6,9,14,7,14
0.9,22,2.717232381436909,0.19183673469387755,13,7,5,14,14,10,7
0.9,23,2.77348884929566,0.11836734693877551,8,8,12,8,14,9,11
0.9,24,2.7021482516468724,0.21224489795918366,14,10,6,6,7,17,10
0.9,25,2.782093612687749,0.10204081632653061,11,7,11,8,10,10,13
0.9,26,2.6784545429368163,0.23673469387755103,17,8,5,9,12,5,14
0.9,27,2.546093468104687,0.32653061224489793,24,5,12,9,7,10,3
0.9,28,2.7146046514955,0.2,16,6,13,5,10,11,9
0.9,29,2.6940821971303137,0.21224489795918366,8,7,10,5,19,10,11
0.9,30,2.7480102371346327,0.1510204081632653,13,13,12,6,10,6,10
0.9,31,2.7444157809089136,0.15510204081632653,10,7,9,8,11,8,17
0.9,32,2.775513270011036,0.11020408163265306,12,7,8,12,8,11,12
0.9,33,2.663121942799607,0.24489795918367346,6,5,12,11,8,8,20
0.9,34,2.786971332549121,0.09387755102040816,11,10,9,8,8,13,11
0.9,35,2.7102727300066762,0.19591836734693877,12,4,8,11,14,7,14
0.9,36,2.7782757349824947,0.10204081632653061,9,10,6,12,10,11,12
0.9,37,2.77090585690446,0.12653061224489795,9,14,11,7,8,9,12
0.9,38,2.7373120720308375,0.17142857142857143,10,7,12,5,13,14,9
0.9,39,2.661963837471059,0.23673469387755103,10,6,10,3,17,10,14
0.9,40,2.6555014625290294,0.24897959183673468,9,5,15,6,5,16,14
0.9,41,2.733489621340515,0.17959183673469387,7,8,6,10,10,16,13
0.9,42,2.711057080545041,0.19183673469387755,9,9,8,9,5,18,12
0.9,43,2.7681904725982616,0.12653061224489795,10,11,10,7,15,9,8
0.9,44,2.750262878086891,0.1510204081632653,16,6,8,10,10,11,9
0.9,45,2.7231209861398207,0.17142857142857143,13,7,9,12,13,4,12
0.9,46,2.759478057520743,0.14285714285714285,14,9,8,13,10,6,10
0.9,47,2.7647175491316807,0.11836734693877551,10,10,9,10,15,10,6
0.9,48,2.7407166924741833,0.13877551020408163,10,4,10,12,14,10,10
0.9,49,2.760072263638665,0.1346938775510204,11,6,11,10,11,7,14
1.0,0,2.7218833573371533,0.19183673469387755,8,11,6,8,14,7,16
1.0,1,2.7432233514477984,0.15918367346938775,14,8,8,13,6,13,8
1.0,2,2.6952054943041692,0.20816326530612245,8,10,8,11,4,11,18
1.0,3,2.724700153352349,0.1836734693877551,11,13,10,6,15,5,10
1.0,4,2.6209941401358603,0.2653061224489796,11,9,7,2,13,9,19
1.0,5,2.7146046514955,0.2,16,9,11,5,6,13,10
1.0,6,2.7355974000796732,0.17142857142857143,17,7,12,7,9,8,10
1.0,7,2.710599372858417,0.19591836734693877,16,7,11,9,4,11,12
1.0,8,2.7649754017026997,0.1306122448979592,13,8,12,7,7,12,11
1.0,9,2.7440274896488512,0.16326530612244897,12,8,10,6,8,10,16
1.0,10,2.7801519542325943,0.09387755102040816,11,11,11,9,12,6,10
1.0,11,2.69367836684758,0.22448979591836735,11,6,9,5,8,14,17
1.0,12,2.7847501590603483,0.09387755102040816,12,9,12,8,9,8,12
1.0,13,2.686018091346887,0.21224489795918366,3,7,12,12,11,9,16
1.0,14,2.688082533064656,0.20816326530612245,7,3,10,10,12,16,12
1.0,15,2.6996955186690412,0.21224489795918366,12,6,6,6,10,14,16
1.0,16,2.746199433856409,0.15510204081632653,9,7,8,8,9,16,13
1.0,17,2.7712107901407395,0.12244897959183673,13,12,7,9,11,7,11
1.0,18,2.6723414855605747,0.23673469387755103,11,4,8,5,14,16,12
1.0,19,2.7661260308804922,0.1306122448979592,9,11,9,11,8,15,7
1.0,20,2.750826166310531,0.15510204081632653,14,9,8,7,14,7,11
1.0,21,2.752058549787931,0.15510204081632653,15,12,11,6,8,8,10
1.0,22,2.7551188883328024,0.1510204081632653,10,11,8,6,14,8,13
1.0,23,2.743117385696076,0.16326530612244897,8,12,15,8,7,7,13
1.0,24,2.781788679451469,0.10204081632653061,11,10,8,14,9,8,10
1.0,25,2.740528470006513,0.14285714285714285,14,9,4,11,11,10,11
1.0,26,2.784083406921641,0.09387755102040816,14,9,9,9,11,10,8
1.0,27,2.7879840468871158,0.08571428571428572,9,7,12,9,11,11,11
1.0,28,2.803226038622066,0.04081632653061224,9,11,11,10,10,10,9
1.0,29,2.6674393284748086,0.24489795918367346,8,5,5,8,17,15,12
1.0,30,2.739358345924421,0.1673469387755102,11,14,7,6,7,12,13
1.0,31,2.78614784863941,0.08571428571428572,14,9,9,10,10,8,10
1.0,32,2.686446932386796,0.22857142857142856,17,6,9,5,13,7,13
1.0,33,2.7752650260924003,0.11428571428571428,10,9,9,7,12,9,14
1.0,34,2.679586178003017,0.22448979591836735,9,8,10,4,12,8,19
1.0,35,2.7404751199410455,0.15918367346938775,17,7,8,9,9,12,8
1.0,36,2.7838131001668445,0.09795918367346938,10,7,8,10,12,11,12
1.0,37,2.65430097792418,0.2571428571428571,8,15,9,12,4,5,17
1.0,38,2.762473634833653,0.1306122448979592,15,8,11,8,12,8,8
1.0,39,2.793989149572753,0.061224489795918366,10,11,7,10,11,10,11
1.0,40,2.7992853776541975,0.05714285714285714,11,9,9,9,10,10,12
1.0,41,2.754085328777214,0.14285714285714285,11,5,9,9,10,12,14
1.0,42,2.7368347258771664,0.17142857142857143,15,12,5,8,10,8,12
1.0,43,2.746300507503562,0.16326530612244897,6,10,8,12,7,14,13
1.0,44,2.7409077787600333,0.16326530612244897,11,14,12,7,12,9,5
1.0,45,2.6114523178502678,0.27755102040816326,11,2,14,9,19,7,8
1.0,46,2.5686903499032345,0.3142857142857143,14,7,20,2,5,10,12
1.0,47,2.6286839221459015,0.27346938775510204,17,6,4,15,14,5,9
1.0,48,2.753217250880041,0.1469387755102041,7,10,7,9,11,10,16
1.0,49,2.667397528191486,0.22040816326530613,10,3,15,5,12,12,13
